epoch,stage,total,bce,nc,q,csr_alpha,p3_context,p3_current,p3_fine,p4_context,p4_current,p4_fine
122,C3_anneal,0.104350,0.054230,0.052175,1.000000,1.000000,0.326374,0.377734,0.295892,0.426988,0.349426,0.223585
123,C3_anneal,0.102636,0.054277,0.051318,1.000000,1.000000,0.326244,0.377944,0.295812,0.426843,0.349408,0.223749
124,C3_anneal,0.103824,0.056931,0.051912,1.000000,1.000000,0.326162,0.377785,0.296053,0.426650,0.349599,0.223751
125,C3_anneal,0.100142,0.058213,0.050071,1.000000,1.000000,0.325957,0.377756,0.296287,0.426544,0.349832,0.223623
126,C3_anneal,0.097835,0.054939,0.048918,1.000000,1.000000,0.325740,0.378006,0.296254,0.426561,0.349861,0.223578
127,C3_anneal,0.102074,0.052771,0.051037,1.000000,1.000000,0.325612,0.378047,0.296341,0.426484,0.349949,0.223568
128,C3_anneal,0.099273,0.054047,0.049637,1.000000,1.000000,0.325704,0.378026,0.296270,0.426524,0.349704,0.223773
129,C3_anneal,0.098419,0.053866,0.049209,1.000000,1.000000,0.325535,0.378254,0.296211,0.426345,0.349786,0.223869
130,C3_anneal,0.101403,0.054840,0.050702,1.000000,1.000000,0.325557,0.378208,0.296236,0.426503,0.350012,0.223485
131,C3_reliable_0p3,0.096870,0.053650,0.048435,1.000000,1.000000,0.325567,0.378316,0.296117,0.426547,0.350083,0.223370
132,C3_reliable_0p3,0.097515,0.054576,0.048758,1.000000,1.000000,0.325648,0.378407,0.295946,0.426712,0.349920,0.223369
133,C3_reliable_0p3,0.099664,0.054893,0.049832,1.000000,1.000000,0.325644,0.378318,0.296039,0.426807,0.349656,0.223537
134,C3_reliable_0p3,0.099015,0.053182,0.049507,1.000000,1.000000,0.325818,0.378303,0.295879,0.426599,0.349644,0.223757
135,C3_reliable_0p3,0.095515,0.049700,0.047758,1.000000,1.000000,0.326009,0.378121,0.295870,0.426724,0.349590,0.223686
136,C3_reliable_0p3,0.098664,0.053514,0.049332,1.000000,1.000000,0.326229,0.377950,0.295821,0.426556,0.349844,0.223600
137,C3_reliable_0p3,0.093947,0.050996,0.046974,1.000000,1.000000,0.325976,0.378222,0.295802,0.426675,0.349726,0.223599
138,C3_reliable_0p3,0.098941,0.051905,0.049470,1.000000,1.000000,0.326035,0.378242,0.295723,0.426646,0.349703,0.223651
139,C3_reliable_0p3,0.097271,0.052361,0.048636,1.000000,1.000000,0.326078,0.378457,0.295465,0.426850,0.349364,0.223786
140,C3_reliable_0p3,0.097332,0.049864,0.048666,1.000000,1.000000,0.326100,0.378270,0.295630,0.427022,0.349212,0.223765
141,C3_reliable_0p3,0.098291,0.047805,0.049146,1.000000,1.000000,0.326174,0.378179,0.295647,0.426902,0.349320,0.223778
142,C3_reliable_0p3,0.095185,0.051706,0.047592,1.000000,1.000000,0.326376,0.377925,0.295699,0.427029,0.349085,0.223887
143,C3_reliable_0p3,0.096816,0.053031,0.048408,1.000000,1.000000,0.326419,0.377908,0.295672,0.426992,0.349161,0.223848
144,C3_reliable_0p3,0.095867,0.047953,0.047934,1.000000,1.000000,0.326601,0.377672,0.295726,0.426919,0.349338,0.223743
145,C3_reliable_0p3,0.095928,0.054903,0.047964,1.000000,1.000000,0.326827,0.377391,0.295782,0.426933,0.349271,0.223796
146,C3_reliable_0p3,0.095235,0.050948,0.047617,1.000000,1.000000,0.326747,0.377470,0.295783,0.427233,0.349044,0.223723
147,C3_reliable_0p3,0.094830,0.051937,0.047415,1.000000,1.000000,0.326605,0.377458,0.295937,0.427278,0.348995,0.223727
148,C3_reliable_0p3,0.094503,0.052308,0.047252,1.000000,1.000000,0.326610,0.377469,0.295921,0.427202,0.349210,0.223587
149,C3_reliable_0p3,0.095570,0.053021,0.047785,1.000000,1.000000,0.326527,0.377575,0.295898,0.427342,0.349325,0.223334
150,C3_reliable_0p3,0.096976,0.051743,0.048488,1.000000,1.000000,0.326557,0.377482,0.295961,0.427034,0.349437,0.223529
