epoch,stage,total,bce,nc,q,anchor,consistency,consistency_weight,csr_alpha,csr_gate,p3_residual_ratio,p4_residual_ratio,pixel_reliability,q_max,q_min,sample_reliability,scale_loss
98,C3_anneal,0.041974,0.007151,0.034823,1.347196,0.007151,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978451,1.347196,1.347196,0.500000,0.000000
99,C3_anneal,0.039664,0.006895,0.032770,1.339959,0.006895,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978272,1.339959,1.339959,0.500000,0.000000
100,C3_anneal,0.039842,0.007163,0.032679,1.332847,0.007163,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.977958,1.332847,1.332847,0.500000,0.000000
101,C3_anneal,0.039151,0.006841,0.032310,1.325886,0.006841,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978037,1.325886,1.325886,0.500000,0.000000
102,C3_anneal,0.040903,0.007306,0.033598,1.319101,0.007306,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978351,1.319101,1.319101,0.500000,0.000000
103,C3_anneal,0.039888,0.006996,0.032892,1.312516,0.006996,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.977942,1.312516,1.312516,0.500000,0.000000
104,C3_anneal,0.040564,0.007246,0.033318,1.306154,0.007246,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.977992,1.306154,1.306154,0.500000,0.000000
105,C3_anneal,0.040293,0.006875,0.033418,1.300039,0.006875,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978288,1.300039,1.300039,0.500000,0.000000
106,C3_anneal,0.043000,0.008551,0.034449,1.294193,0.008551,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978179,1.294193,1.294193,0.500000,0.000000
107,C3_anneal,0.050953,0.010644,0.040309,1.288635,0.010644,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978039,1.288635,1.288635,0.500000,0.000000
108,C3_anneal,0.040159,0.007009,0.033151,1.283387,0.007009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978115,1.283387,1.283387,0.500000,0.000000
109,C3_anneal,0.039965,0.006335,0.033629,1.278467,0.006335,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978603,1.278467,1.278467,0.500000,0.000000
110,C3_anneal,0.039291,0.006469,0.032822,1.273892,0.006469,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978323,1.273892,1.273892,0.500000,0.000000
111,C3_anneal,0.039142,0.006548,0.032594,1.269680,0.006548,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978577,1.269680,1.269680,0.500000,0.000000
112,C3_anneal,0.039017,0.006561,0.032457,1.265844,0.006561,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978193,1.265844,1.265844,0.500000,0.000000
113,C3_anneal,0.040398,0.007154,0.033244,1.262399,0.007154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978011,1.262399,1.262399,0.500000,0.000000
114,C3_anneal,0.040232,0.006821,0.033411,1.259357,0.006821,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978246,1.259357,1.259357,0.500000,0.000000
115,C3_anneal,0.038888,0.006184,0.032704,1.256729,0.006184,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978302,1.256729,1.256729,0.500000,0.000000
116,C3_anneal,0.038304,0.006396,0.031908,1.254525,0.006396,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978389,1.254525,1.254525,0.500000,0.000000
117,C3_anneal,0.037741,0.006160,0.031581,1.252751,0.006160,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978373,1.252751,1.252751,0.500000,0.000000
118,C3_anneal,0.037614,0.006406,0.031208,1.251416,0.006406,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978031,1.251416,1.251416,0.500000,0.000000
119,C3_anneal,0.038207,0.006472,0.031735,1.250522,0.006472,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978203,1.250522,1.250522,0.500000,0.000000
120,C3_anneal,0.037812,0.006383,0.031429,1.250075,0.006383,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978561,1.250075,1.250075,0.500000,0.000000
121,C3_anneal,0.035815,0.005960,0.029856,1.250000,0.005960,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978364,1.250000,1.250000,0.500000,0.000000
122,C3_anneal,0.035373,0.005777,0.029595,1.250000,0.005777,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978595,1.250000,1.250000,0.500000,0.000000
123,C3_anneal,0.034686,0.005521,0.029165,1.250000,0.005521,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978739,1.250000,1.250000,0.500000,0.000000
124,C3_anneal,0.034666,0.005617,0.029049,1.250000,0.005617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978654,1.250000,1.250000,0.500000,0.000000
125,C3_anneal,0.034233,0.005657,0.028576,1.250000,0.005657,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978588,1.250000,1.250000,0.500000,0.000000
126,C3_anneal,0.034512,0.005424,0.029088,1.250000,0.005424,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978725,1.250000,1.250000,0.500000,0.000000
127,C3_anneal,0.034204,0.005608,0.028596,1.250000,0.005608,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978391,1.250000,1.250000,0.500000,0.000000
128,C3_anneal,0.034207,0.005646,0.028561,1.250000,0.005646,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978272,1.250000,1.250000,0.500000,0.000000
129,C3_anneal,0.033128,0.005621,0.027507,1.250000,0.005621,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978255,1.250000,1.250000,0.500000,0.000000
130,C3_anneal,0.033256,0.005400,0.027856,1.250000,0.005400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978250,1.250000,1.250000,0.500000,0.000000
131,C3_anneal,0.034026,0.005724,0.028302,1.250000,0.005724,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978482,1.250000,1.250000,0.500000,0.000000
132,C3_anneal,0.033587,0.005480,0.028107,1.250000,0.005480,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978621,1.250000,1.250000,0.500000,0.000000
133,C3_anneal,0.033405,0.005428,0.027977,1.250000,0.005428,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978459,1.250000,1.250000,0.500000,0.000000
134,C3_anneal,0.033668,0.005777,0.027891,1.250000,0.005777,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978274,1.250000,1.250000,0.500000,0.000000
135,C3_anneal,0.032156,0.005599,0.026558,1.250000,0.005599,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978354,1.250000,1.250000,0.500000,0.000000
136,C3_anneal,0.033219,0.005403,0.027816,1.250000,0.005403,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978554,1.250000,1.250000,0.500000,0.000000
137,C3_anneal,0.033305,0.005227,0.028078,1.250000,0.005227,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978777,1.250000,1.250000,0.500000,0.000000
138,C3_anneal,0.033072,0.005287,0.027785,1.250000,0.005287,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978584,1.250000,1.250000,0.500000,0.000000
139,C3_anneal,0.032991,0.005294,0.027696,1.250000,0.005294,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978699,1.250000,1.250000,0.500000,0.000000
140,C3_anneal,0.032453,0.005243,0.027210,1.250000,0.005243,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978621,1.250000,1.250000,0.500000,0.000000
141,C3_reliable_0p3,0.033733,0.005401,0.028332,1.250000,0.005401,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978656,1.250000,1.250000,0.500000,0.000000
142,C3_reliable_0p3,0.031886,0.005083,0.026803,1.250000,0.005083,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978871,1.250000,1.250000,0.500000,0.000000
143,C3_reliable_0p3,0.032705,0.005400,0.027305,1.250000,0.005400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978772,1.250000,1.250000,0.500000,0.000000
144,C3_reliable_0p3,0.032342,0.005227,0.027115,1.250000,0.005227,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978757,1.250000,1.250000,0.500000,0.000000
145,C3_reliable_0p3,0.031863,0.005243,0.026620,1.250000,0.005243,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978776,1.250000,1.250000,0.500000,0.000000
146,C3_reliable_0p3,0.032628,0.005465,0.027162,1.250000,0.005465,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978369,1.250000,1.250000,0.500000,0.000000
147,C3_reliable_0p3,0.031698,0.005310,0.026388,1.250000,0.005310,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978582,1.250000,1.250000,0.500000,0.000000
148,C3_reliable_0p3,0.032403,0.005233,0.027170,1.250000,0.005233,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978895,1.250000,1.250000,0.500000,0.000000
149,C3_reliable_0p3,0.032249,0.005201,0.027048,1.250000,0.005201,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978656,1.250000,1.250000,0.500000,0.000000
