epoch,stage,total,bce,nc,q,csr_alpha,p3_context,p3_current,p3_fine,p4_context,p4_current,p4_fine
128,C3_anneal,0.134230,0.117855,0.067115,1.000000,1.000000,0.326325,0.398594,0.275081,0.443099,0.345845,0.211056
129,C3_anneal,0.127809,0.105188,0.063905,1.000000,1.000000,0.326155,0.398825,0.275020,0.443257,0.345725,0.211018
130,C3_anneal,0.136352,0.113999,0.068176,1.000000,1.000000,0.326055,0.398973,0.274973,0.443094,0.345773,0.211133
131,C3_anneal,0.128611,0.108277,0.064305,1.000000,1.000000,0.325838,0.399135,0.275027,0.442723,0.346233,0.211044
132,C3_anneal,0.129586,0.108358,0.064793,1.000000,1.000000,0.326113,0.399005,0.274881,0.442920,0.346112,0.210968
133,C3_anneal,0.129226,0.113007,0.064613,1.000000,1.000000,0.326142,0.399178,0.274681,0.443187,0.346213,0.210600
134,C3_anneal,0.129113,0.110401,0.064557,1.000000,1.000000,0.326021,0.399234,0.274745,0.443150,0.346145,0.210705
135,C3_anneal,0.126819,0.111485,0.063410,1.000000,1.000000,0.326047,0.399271,0.274682,0.442800,0.346145,0.211055
136,C3_anneal,0.126770,0.107695,0.063385,1.000000,1.000000,0.325828,0.399480,0.274692,0.442296,0.346632,0.211073
137,C3_anneal,0.123481,0.107243,0.061740,1.000000,1.000000,0.326056,0.399277,0.274668,0.442411,0.346573,0.211016
138,C3_anneal,0.124268,0.109960,0.062134,1.000000,1.000000,0.326058,0.399062,0.274879,0.442927,0.346435,0.210639
139,C3_anneal,0.127757,0.108132,0.063878,1.000000,1.000000,0.325944,0.399071,0.274985,0.442885,0.346541,0.210573
140,C3_anneal,0.125397,0.104836,0.062698,1.000000,1.000000,0.326000,0.399094,0.274905,0.443161,0.346109,0.210730
141,C3_reliable_0p3,0.124458,0.103233,0.062229,1.000000,1.000000,0.325688,0.399189,0.275123,0.443206,0.346226,0.210568
142,C3_reliable_0p3,0.122879,0.108758,0.061439,1.000000,1.000000,0.325844,0.399453,0.274703,0.442794,0.346402,0.210804
143,C3_reliable_0p3,0.127421,0.105569,0.063711,1.000000,1.000000,0.325719,0.399566,0.274716,0.443048,0.345873,0.211079
144,C3_reliable_0p3,0.124392,0.109265,0.062196,1.000000,1.000000,0.325880,0.399543,0.274577,0.443321,0.345707,0.210972
145,C3_reliable_0p3,0.122127,0.101059,0.061063,1.000000,1.000000,0.325827,0.399617,0.274557,0.442947,0.345896,0.211157
146,C3_reliable_0p3,0.123980,0.106629,0.061990,1.000000,1.000000,0.325813,0.399581,0.274605,0.442908,0.345784,0.211308
147,C3_reliable_0p3,0.127218,0.107287,0.063609,1.000000,1.000000,0.326091,0.399351,0.274558,0.443158,0.345908,0.210934
148,C3_reliable_0p3,0.122554,0.110857,0.061277,1.000000,1.000000,0.326207,0.399227,0.274566,0.443005,0.346112,0.210883
149,C3_reliable_0p3,0.120730,0.100383,0.060365,1.000000,1.000000,0.325844,0.399506,0.274650,0.443082,0.346062,0.210856
150,C3_reliable_0p3,0.123048,0.103913,0.061524,1.000000,1.000000,0.325797,0.399308,0.274895,0.442952,0.346150,0.210898
