epoch,stage,total,bce,nc,q,csr_alpha,p3_context,p3_current,p3_fine,p4_context,p4_current,p4_fine,rgpu_p2_mix,rgpu_p2_ratio,rgpu_p3_mix,rgpu_p3_ratio,rgpu_p4_mix,rgpu_p4_ratio,rgpu_p5_mix,rgpu_p5_ratio
90,C3_anneal,0.121503,0.070916,0.060752,1.000000,0.887499,0.353364,0.383538,0.263098,0.484247,0.308111,0.207641,0.255903,0.461023,-0.150809,0.151322,-0.109297,0.120827,-0.018645,0.025941
91,C3_anneal,0.123130,0.066346,0.061565,1.000000,0.906928,0.354279,0.383365,0.262356,0.483091,0.308349,0.208560,0.257030,0.463162,-0.150883,0.150223,-0.108520,0.119137,-0.018958,0.026550
92,C3_anneal,0.115722,0.068533,0.057861,1.000000,0.924773,0.356018,0.382991,0.260991,0.484149,0.308917,0.206934,0.258391,0.467383,-0.151350,0.150766,-0.108415,0.117576,-0.016753,0.023487
93,C3_anneal,0.118961,0.071315,0.059480,1.000000,0.940924,0.355805,0.382498,0.261697,0.486011,0.309376,0.204613,0.260191,0.471080,-0.151806,0.151482,-0.108522,0.117471,-0.017618,0.024693
94,C3_anneal,0.114201,0.069856,0.057101,1.000000,0.955282,0.356553,0.381185,0.262262,0.483991,0.310194,0.205815,0.261932,0.474011,-0.150896,0.149391,-0.106783,0.114537,-0.016838,0.023820
95,C3_anneal,0.120854,0.069101,0.060427,1.000000,0.967757,0.356998,0.380972,0.262030,0.484927,0.309743,0.205330,0.263061,0.474470,-0.150897,0.149757,-0.106715,0.113806,-0.016210,0.022922
96,C3_anneal,0.118107,0.068357,0.059053,1.000000,0.978273,0.357004,0.382025,0.260971,0.485278,0.308997,0.205725,0.264094,0.476681,-0.151424,0.150454,-0.106800,0.113673,-0.016938,0.023920
97,C3_anneal,0.115177,0.068933,0.057588,1.000000,0.986765,0.356537,0.380617,0.262846,0.485643,0.310566,0.203791,0.265960,0.475362,-0.151974,0.150386,-0.108275,0.116420,-0.018620,0.026371
98,C3_anneal,0.115625,0.068649,0.057812,1.000000,0.993181,0.357347,0.380055,0.262598,0.482891,0.310901,0.206208,0.267205,0.484261,-0.152041,0.150306,-0.108330,0.116256,-0.018420,0.025984
99,C3_anneal,0.114573,0.067187,0.057286,1.000000,0.997481,0.356574,0.378798,0.264628,0.482996,0.311047,0.205957,0.268247,0.486396,-0.152356,0.150418,-0.109262,0.117094,-0.018488,0.026053
100,C3_anneal,0.111754,0.067043,0.055877,1.000000,0.999639,0.355648,0.379346,0.265006,0.486189,0.309072,0.204739,0.269636,0.487330,-0.152843,0.150928,-0.110300,0.118977,-0.020717,0.029164
101,C3_anneal,0.113622,0.070581,0.056811,1.000000,1.000000,0.356818,0.379222,0.263960,0.486201,0.309239,0.204560,0.271159,0.489313,-0.152830,0.150518,-0.110929,0.120631,-0.019718,0.027800
102,C3_anneal,0.108727,0.063847,0.054364,1.000000,1.000000,0.356227,0.379741,0.264032,0.484452,0.310541,0.205007,0.273053,0.496493,-0.152587,0.150564,-0.111214,0.122173,-0.020026,0.028411
103,C3_anneal,0.113768,0.066601,0.056884,1.000000,1.000000,0.358082,0.377455,0.264463,0.484126,0.311156,0.204718,0.274589,0.499722,-0.154369,0.153019,-0.110721,0.122771,-0.020034,0.028707
104,C3_anneal,0.111566,0.068675,0.055783,1.000000,1.000000,0.356915,0.378216,0.264869,0.484226,0.310584,0.205191,0.276635,0.506821,-0.154363,0.153962,-0.110294,0.121760,-0.018368,0.026412
105,C3_anneal,0.108353,0.065048,0.054176,1.000000,1.000000,0.357048,0.378929,0.264023,0.484963,0.310277,0.204760,0.277715,0.508803,-0.154893,0.153907,-0.110631,0.121099,-0.018132,0.025905
106,C3_anneal,0.106232,0.062726,0.053116,1.000000,1.000000,0.354165,0.378972,0.266863,0.484951,0.310505,0.204545,0.278849,0.503868,-0.154656,0.154997,-0.110590,0.121278,-0.019206,0.027069
107,C3_anneal,0.111645,0.069539,0.055823,1.000000,1.000000,0.354120,0.379108,0.266772,0.487151,0.309255,0.203593,0.280500,0.506954,-0.154557,0.154361,-0.111325,0.122091,-0.020953,0.029100
108,C3_anneal,0.108472,0.060365,0.054236,1.000000,1.000000,0.352846,0.381009,0.266145,0.485678,0.310232,0.204090,0.282279,0.511064,-0.155375,0.155172,-0.110753,0.122537,-0.021071,0.029337
109,C3_anneal,0.113677,0.066381,0.056838,1.000000,1.000000,0.351375,0.382173,0.266452,0.486354,0.308211,0.205435,0.283323,0.515965,-0.155220,0.155510,-0.110559,0.123345,-0.019279,0.027054
110,C3_anneal,0.107711,0.062878,0.053856,1.000000,1.000000,0.350392,0.383587,0.266022,0.487730,0.305903,0.206366,0.284714,0.517479,-0.156169,0.156138,-0.111036,0.123884,-0.018847,0.026537
111,C3_anneal,0.114657,0.063357,0.057329,1.000000,1.000000,0.351236,0.384168,0.264595,0.489367,0.303923,0.206710,0.285679,0.522311,-0.157395,0.158053,-0.111856,0.126079,-0.020116,0.028256
112,C3_anneal,0.102583,0.063897,0.051291,1.000000,1.000000,0.353436,0.383444,0.263119,0.488925,0.304806,0.206269,0.286490,0.524450,-0.157378,0.158158,-0.112565,0.127163,-0.020089,0.027960
113,C3_anneal,0.105935,0.062248,0.052968,1.000000,1.000000,0.353310,0.383387,0.263303,0.486065,0.307406,0.206528,0.287990,0.527673,-0.156920,0.158498,-0.112441,0.126413,-0.020542,0.028634
114,C3_anneal,0.105775,0.062580,0.052887,1.000000,1.000000,0.353221,0.385113,0.261665,0.485095,0.308670,0.206236,0.289448,0.530424,-0.158105,0.160232,-0.113806,0.128528,-0.020009,0.028237
115,C3_anneal,0.104266,0.062165,0.052133,1.000000,1.000000,0.354062,0.383564,0.262374,0.482489,0.310734,0.206777,0.291315,0.535485,-0.158497,0.160831,-0.113383,0.129360,-0.019530,0.027181
116,C3_anneal,0.103643,0.059123,0.051822,1.000000,1.000000,0.354825,0.382372,0.262804,0.483510,0.309349,0.207142,0.292457,0.537088,-0.158533,0.160823,-0.111710,0.127906,-0.018616,0.025694
117,C3_anneal,0.106752,0.058869,0.053376,1.000000,1.000000,0.355355,0.381739,0.262906,0.484567,0.307926,0.207507,0.294037,0.540197,-0.157778,0.160157,-0.111934,0.127164,-0.018740,0.025716
118,C3_anneal,0.102705,0.061775,0.051353,1.000000,1.000000,0.356189,0.382549,0.261262,0.482931,0.308493,0.208576,0.295181,0.540996,-0.159338,0.161751,-0.112476,0.128179,-0.018753,0.025631
