epoch,stage,total,bce,nc,q,anchor,consistency,consistency_weight,csr_alpha,csr_gate,p3_context,p3_current,p3_fine,p3_residual_ratio,p3_route_entropy,p3_route_spatial_std,p4_context,p4_current,p4_fine,p4_residual_ratio,p4_route_entropy,p4_route_spatial_std,pixel_reliability,q_max,q_min,sample_reliability,scale_loss
49,C3_broad_1to1,0.011517,0.011517,0.000000,0.000000,0.011517,0.000000,0.000000,0.099793,0.099793,0.429206,0.323665,0.247129,0.139928,0.826582,0.114830,0.367372,0.286679,0.345949,0.099983,0.801688,0.116462,0.000000,0.000000,0.000000,0.000000,0.000000
50,C3_broad_1to1,0.012466,0.012466,0.000000,0.000000,0.012466,0.000000,0.000000,0.099970,0.099970,0.427715,0.323957,0.248328,0.141072,0.827912,0.114886,0.366543,0.286197,0.347260,0.099992,0.797103,0.117762,0.000000,0.000000,0.000000,0.000000,0.000000
51,C3_broad_1to1,0.011663,0.011663,0.000000,0.000000,0.011663,0.000000,0.000000,0.100061,0.100061,0.430067,0.325651,0.244282,0.139244,0.826523,0.117083,0.371457,0.284784,0.343760,0.100082,0.794574,0.117324,0.000000,0.000000,0.000000,0.000000,0.000000
52,C3_broad_1to1,0.011306,0.011306,0.000000,0.000000,0.011306,0.000000,0.000000,0.100425,0.100425,0.430944,0.324780,0.244276,0.140376,0.822876,0.117482,0.369622,0.286193,0.344185,0.100579,0.794151,0.118190,0.000000,0.000000,0.000000,0.000000,0.000000
53,C3_broad_1to1,0.011229,0.011229,0.000000,0.000000,0.011229,0.000000,0.000000,0.101154,0.101154,0.432656,0.322724,0.244620,0.144307,0.825257,0.116259,0.371557,0.285536,0.342906,0.101292,0.795719,0.119880,0.000000,0.000000,0.000000,0.000000,0.000000
54,C3_broad_1to1,0.010685,0.010685,0.000000,0.000000,0.010685,0.000000,0.000000,0.102241,0.102241,0.432945,0.323251,0.243804,0.145445,0.826552,0.115828,0.374379,0.283693,0.341929,0.102279,0.796724,0.118581,0.000000,0.000000,0.000000,0.000000,0.000000
55,C3_broad_1to1,0.010755,0.010755,0.000000,0.000000,0.010755,0.000000,0.000000,0.103684,0.103684,0.432035,0.323217,0.244747,0.146762,0.826537,0.115066,0.374458,0.283924,0.341619,0.103752,0.794006,0.121020,0.000000,0.000000,0.000000,0.000000,0.000000
56,C3_broad_1to1,0.010709,0.010709,0.000000,0.000000,0.010709,0.000000,0.000000,0.105473,0.105473,0.432059,0.322893,0.245048,0.148680,0.827558,0.114772,0.374553,0.283378,0.342069,0.105514,0.798275,0.118829,0.000000,0.000000,0.000000,0.000000,0.000000
57,C3_broad_1to1,0.011352,0.011352,0.000000,0.000000,0.011352,0.000000,0.000000,0.107602,0.107602,0.431688,0.325036,0.243276,0.150102,0.824710,0.116649,0.371010,0.284524,0.344466,0.107653,0.800007,0.116294,0.000000,0.000000,0.000000,0.000000,0.000000
58,C3_broad_1to1,0.011015,0.011015,0.000000,0.000000,0.011015,0.000000,0.000000,0.110059,0.110059,0.431989,0.323135,0.244876,0.155435,0.828736,0.115040,0.376867,0.282331,0.340802,0.110111,0.793359,0.121483,0.000000,0.000000,0.000000,0.000000,0.000000
59,C3_broad_1to1,0.010879,0.010879,0.000000,0.000000,0.010879,0.000000,0.000000,0.112832,0.112832,0.431143,0.322690,0.246168,0.157095,0.828744,0.114915,0.375071,0.284973,0.339957,0.112961,0.796514,0.121859,0.000000,0.000000,0.000000,0.000000,0.000000
60,C3_broad_1to1,0.010411,0.010411,0.000000,0.000000,0.010411,0.000000,0.000000,0.115908,0.115908,0.431210,0.323834,0.244956,0.164620,0.827092,0.116552,0.372370,0.286027,0.341603,0.116044,0.796792,0.124250,0.000000,0.000000,0.000000,0.000000,0.000000
61,C3_anneal,0.011233,0.011233,0.000000,0.000000,0.011233,0.000000,0.000000,0.119272,0.119272,0.431591,0.324092,0.244317,0.167838,0.826717,0.119609,0.372053,0.286939,0.341007,0.119803,0.802094,0.121372,0.000000,0.000000,0.000000,0.000000,0.000000
62,C3_anneal,0.011172,0.011172,0.000000,0.000000,0.011172,0.000000,0.000000,0.122907,0.122907,0.432863,0.323403,0.243734,0.171925,0.825076,0.119064,0.373699,0.287766,0.338534,0.123207,0.795846,0.126188,0.000000,0.000000,0.000000,0.000000,0.000000
63,C3_anneal,0.010075,0.010075,0.000000,0.000000,0.010075,0.000000,0.000000,0.126797,0.126797,0.432883,0.321377,0.245740,0.178357,0.826505,0.117336,0.375274,0.289044,0.335681,0.127034,0.797397,0.127062,0.000000,0.000000,0.000000,0.000000,0.000000
64,C3_anneal,0.010082,0.010082,0.000000,0.000000,0.010082,0.000000,0.000000,0.130921,0.130921,0.432988,0.322628,0.244384,0.181611,0.826129,0.116605,0.374408,0.288155,0.337438,0.131099,0.800057,0.125992,0.000000,0.000000,0.000000,0.000000,0.000000
65,C3_anneal,0.010426,0.010426,0.000000,0.000000,0.010426,0.000000,0.000000,0.135260,0.135260,0.433534,0.321213,0.245253,0.185231,0.829698,0.114281,0.376881,0.284509,0.338610,0.135354,0.801417,0.125234,0.000000,0.000000,0.000000,0.000000,0.000000
66,C3_anneal,0.010483,0.010483,0.000000,0.000000,0.010483,0.000000,0.000000,0.139792,0.139792,0.432217,0.322486,0.245297,0.193998,0.828933,0.116424,0.379504,0.284166,0.336330,0.139835,0.801658,0.124800,0.000000,0.000000,0.000000,0.000000,0.000000
67,C3_anneal,0.011729,0.011729,0.000000,0.000000,0.011729,0.000000,0.000000,0.144496,0.144496,0.434273,0.319778,0.245949,0.192738,0.830969,0.116650,0.384523,0.282722,0.332755,0.144838,0.798830,0.125625,0.000000,0.000000,0.000000,0.000000,0.000000
68,C3_anneal,0.010708,0.010708,0.000000,0.000000,0.010708,0.000000,0.000000,0.149349,0.149349,0.434119,0.320817,0.245064,0.202329,0.827823,0.117131,0.383796,0.284661,0.331543,0.149680,0.801814,0.124008,0.000000,0.000000,0.000000,0.000000,0.000000
69,C3_anneal,0.010623,0.010623,0.000000,0.000000,0.010623,0.000000,0.000000,0.154326,0.154326,0.432106,0.321246,0.246648,0.206669,0.831002,0.116048,0.380581,0.285947,0.333472,0.154617,0.806706,0.121221,0.000000,0.000000,0.000000,0.000000,0.000000
70,C3_anneal,0.013329,0.013329,0.000000,0.000000,0.013329,0.000000,0.000000,0.159405,0.159405,0.431312,0.321292,0.247396,0.210591,0.832162,0.111876,0.378068,0.287861,0.334070,0.159616,0.802251,0.121381,0.000000,0.000000,0.000000,0.000000,0.000000
71,C3_anneal,0.010132,0.010132,0.000000,0.000000,0.010132,0.000000,0.000000,0.164559,0.164559,0.431740,0.322010,0.246250,0.216296,0.829444,0.112518,0.376997,0.290001,0.333002,0.164708,0.802473,0.118910,0.000000,0.000000,0.000000,0.000000,0.000000
72,C3_anneal,0.009757,0.009757,0.000000,0.000000,0.009757,0.000000,0.000000,0.169764,0.169764,0.432863,0.320765,0.246372,0.221400,0.833751,0.111371,0.376794,0.290323,0.332883,0.169931,0.804183,0.119159,0.000000,0.000000,0.000000,0.000000,0.000000
73,C3_anneal,0.009895,0.009895,0.000000,0.000000,0.009895,0.000000,0.000000,0.174995,0.174995,0.432881,0.320190,0.246929,0.225792,0.835857,0.111369,0.377648,0.289383,0.332968,0.175200,0.806758,0.120380,0.000000,0.000000,0.000000,0.000000,0.000000
74,C3_anneal,0.010583,0.010583,0.000000,0.000000,0.010583,0.000000,0.000000,0.180226,0.180226,0.430550,0.322138,0.247312,0.233044,0.834601,0.112624,0.376359,0.289202,0.334439,0.180417,0.809218,0.116381,0.000000,0.000000,0.000000,0.000000,0.000000
75,C3_anneal,0.009919,0.009919,0.000000,0.000000,0.009919,0.000000,0.000000,0.185431,0.185431,0.428517,0.323250,0.248233,0.238202,0.836323,0.111757,0.377233,0.288361,0.334406,0.185694,0.810087,0.116514,0.000000,0.000000,0.000000,0.000000,0.000000
76,C3_anneal,0.009899,0.009899,0.000000,0.000000,0.009899,0.000000,0.000000,0.190585,0.190585,0.430543,0.321981,0.247477,0.244498,0.837025,0.112214,0.376859,0.288819,0.334322,0.190661,0.808949,0.119512,0.000000,0.000000,0.000000,0.000000,0.000000
77,C3_anneal,0.009816,0.009816,0.000000,0.000000,0.009816,0.000000,0.000000,0.195664,0.195664,0.430681,0.321926,0.247393,0.250954,0.838742,0.111734,0.378501,0.288967,0.332532,0.195773,0.811036,0.118310,0.000000,0.000000,0.000000,0.000000,0.000000
78,C3_anneal,0.010346,0.010346,0.000000,0.000000,0.010346,0.000000,0.000000,0.200641,0.200641,0.431758,0.320435,0.247808,0.255544,0.839600,0.111860,0.374879,0.291245,0.333876,0.200760,0.811794,0.115023,0.000000,0.000000,0.000000,0.000000,0.000000
